user_id,name,age,education_level,field_of_study,experience_years,openness,conscientiousness,extraversion,agreeableness,neuroticism,technical_skill,data_reasoning_skill,communication_skill,problem_solving_skill,leadership_skill,creative_thinking_skill,interest_technology,interest_business,interest_creative,interest_health_social,interest_research_academic,preferred_work_style,preferred_environment,risk_tolerance,career_cluster
U00011,Neha Patel,25.0,Undergraduate,Business,,2.0,4.0,2.0,4.0,3.0,,1.0,1.0,3.0,,3.0,22.0,51.0,,,47.0,individual,flexible,high,Education & Social Impact
U00012,Daniel Wilson,24.0,Undergraduate,Design,0 years,4.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,51.0,54.0,41.0,35.0,56.0,individual,flexible,low,Healthcare & Life Sciences
U00013,Rohan Patel,21.0,Graduate,Business,1 years,3.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,66.0,57.0,57.0,40.0,35.0,collaborative,structured,medium,Entrepreneurship & Freelance
U00014,Neha Das,30.0,Undergraduate,Computer Science,2 years,1.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,28.0,57.0,89.0,21.0,58.0,individual,flexible,high,Design & Creative Media
U00015,Priya Patel,30.0,Undergraduate,Computer Science,3 years,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,42.0,91.0,15.0,33.0,46.0,collaborative,structured,high,Finance & Economics
U00016,John Das,,Graduate,Design,0 years,,4.0,2.0,4.0,3.0,3.0,4.0,,4.0,3.0,4.0,,61.0,15.0,37.0,53.0,individual,flexible,,Technology & Engineering
U00017,Rahul Nair,24.0,Graduate,Economics,1 years,3.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,34.0,52.0,41.0,39.0,46.0,collaborative,structured,low,Healthcare & Life Sciences
U00018,John Singh,27.0,High School,Design,1 years,4.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,53.0,75.0,35.0,27.0,76.0,individual,structured,high,Finance & Economics
U00019,Rahul Patel,20.0,High School,Engineering,0 years,5.0,4.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,31.0,44.0,79.0,27.0,48.0,individual,flexible,high,Design & Creative Media
U00020,Sara Das,24.0,Graduate,Design,1 years,3.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,49.0,64.0,52.0,44.0,32.0,collaborative,flexible,high,Entrepreneurship & Freelance
U00021,Rahul Iyer,25.0,High School,Design,3 years,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,44.0,71.0,37.0,53.0,47.0,individual,structured,medium,Education & Social Impact
U00022,Sara Khan,30.0,High School,Computer Science,1 years,3.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,84.0,26.0,53.0,57.0,37.0,individual,structured,low,Technology & Engineering
U00023,Joseph Sharma,18.0,Graduate,Design,0 years,3.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,85.0,47.0,23.0,16.0,64.0,collaborative,flexible,low,Technology & Engineering
U00024,Daniel Khan,24.0,Undergraduate,Design,1 years,5.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,4.0,4.0,2.0,46.0,55.0,17.0,22.0,14.0,collaborative,flexible,low,Healthcare & Life Sciences
,Priya Brown,,Undergraduate,Psychology,2 years,,4.0,,2.0,1.0,3.0,4.0,2.0,,2.0,1.0,86.0,,25.0,32.0,29.0,collaborative,structured,high,Technology & Engineering
U00026,Rohan Nair,23.0,Undergraduate,Economics,2 years,3.0,4.0,2.0,3.0,2.0,0.0,1.0,1.0,5.0,3.0,2.0,37.0,48.0,42.0,49.0,56.0,individual,structured,low,Education & Social Impact
,,22.0,High School,Biology,1 years,3.0,1.0,1.0,5.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,35.0,63.0,42.0,28.0,23.0,collaborative,structured,low,Business & Management
U00028,Rahul Sharma,22.0,High School,Computer Science,0 years,5.0,4.0,2.0,5.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,21.0,49.0,100.0,19.0,53.0,individual,structured,low,Design & Creative Media
U00029,Sara Wilson,22.0,High School,Business,1 years,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,25.0,40.0,92.0,14.0,53.0,collaborative,structured,medium,Design & Creative Media
U00030,Neha Miller,22.0,Undergraduate,Engineering,2 years,3.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,55.0,66.0,26.0,55.0,36.0,individual,structured,medium,Finance & Economics
U00031,Daniel Das,26.0,High School,Economics,0 years,4.0,5.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,47.0,83.0,35.0,32.0,38.0,individual,structured,high,Business & Management
U00032,Rahul Patel,25.0,High School,IT,1 years,4.0,5.0,3.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,3.0,51.0,43.0,82.0,52.0,11.0,individual,structured,high,Design & Creative Media
U00033,Sara Wilson,24.0,High School,Design,2 years,2.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,71.0,40.0,30.0,47.0,50.0,individual,structured,medium,Technology & Engineering
U00034,Rahul Brown,27.0,Undergraduate,Design,1 years,3.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,22.0,32.0,59.0,49.0,44.0,collaborative,structured,medium,Education & Social Impact
U00035,John Iyer,24.0,Undergraduate,IT,0 years,5.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,5.0,4.0,4.0,29.0,30.0,83.0,40.0,61.0,individual,flexible,high,Design & Creative Media
U00036,Rohan Das,18.0,High School,Biology,0 years,3.0,3.0,1.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,2.0,24.0,42.0,32.0,0.0,44.0,individual,flexible,low,Healthcare & Life Sciences
U00037,Amit Iyer,23.0,Graduate,Biology,2 years,5.0,5.0,2.0,2.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,39.0,79.0,34.0,29.0,46.0,individual,flexible,high,Business & Management
U00038,Amit Miller,23.0,High School,IT,3 years,1.0,5.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,92.0,47.0,23.0,32.0,52.0,individual,flexible,medium,Technology & Engineering
U00039,Joseph Singh,20.0,Graduate,Biology,2 years,3.0,3.0,3.0,4.0,2.0,3.0,0.0,3.0,4.0,2.0,3.0,27.0,54.0,33.0,32.0,60.0,collaborative,flexible,low,Healthcare & Life Sciences
U00040,John Nair,21.0,High School,Economics,0 years,2.0,4.0,1.0,5.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,91.0,41.0,36.0,34.0,44.0,individual,flexible,low,Technology & Engineering
U00041,Priya Das,24.0,High School,IT,0 years,2.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,17.0,60.0,49.0,43.0,59.0,individual,structured,high,Education & Social Impact
U00042,Daniel Das,28.0,High School,Psychology,3 years,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,66.0,30.0,45.0,25.0,84.0,individual,structured,medium,Technology & Engineering
U00043,Anika Brown,25.0,High School,Design,2 years,3.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,3.0,4.0,2.0,73.0,82.0,24.0,49.0,59.0,individual,flexible,high,Finance & Economics
U00044,Daniel Patel,25.0,High School,Business,0 years,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,64.0,64.0,38.0,46.0,48.0,individual,flexible,low,Entrepreneurship & Freelance
U00045,Joseph Wilson,24.0,Graduate,Design,0 years,2.0,,2.0,4.0,3.0,3.0,3.0,2.0,,2.0,2.0,41.0,82.0,35.0,58.0,31.0,collaborative,structured,high,Business & Management
U00046,Anika Iyer,23.0,High School,Design,1 years,5.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,76.0,35.0,49.0,63.0,37.0,collaborative,flexible,medium,Technology & Engineering
U00047,Sara Singh,22.0,High School,Design,1 years,2.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,66.0,53.0,58.0,42.0,52.0,collaborative,flexible,medium,Entrepreneurship & Freelance
U00048,John Brown,24.0,Graduate,Psychology,4 years,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,66.0,67.0,39.0,63.0,71.0,collaborative,structured,low,Entrepreneurship & Freelance
U00049,John Nair,22.0,High School,Psychology,1 years,4.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,57.0,74.0,41.0,77.0,37.0,collaborative,flexible,medium,Finance & Economics
U00050,Rohan Wilson,22.0,Graduate,Design,3 years,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,46.0,43.0,36.0,58.0,32.0,collaborative,structured,high,Healthcare & Life Sciences
U00051,Sara Brown,40.0,Undergraduate,IT,1 years,4.0,5.0,3.0,4.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,50.0,39.0,87.0,49.0,47.0,collaborative,flexible,high,Design & Creative Media
U00052,John Das,22.0,Undergraduate,Psychology,2 years,5.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0,2.0,2.0,78.0,50.0,33.0,46.0,37.0,collaborative,flexible,high,Entrepreneurship & Freelance
U00053,Sara Wilson,20.0,Graduate,Psychology,2 years,4.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,57.0,72.0,33.0,21.0,66.0,individual,flexible,medium,Finance & Economics
U00054,John Miller,23.0,High School,Psychology,3 years,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,58.0,44.0,20.0,41.0,34.0,collaborative,flexible,medium,Healthcare & Life Sciences
U00055,Rahul Iyer,26.0,Graduate,Business,1 years,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,23.0,55.0,93.0,36.0,45.0,individual,flexible,high,Design & Creative Media
U00056,Joseph Sharma,24.0,High School,Biology,0 years,3.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,28.0,56.0,48.0,53.0,54.0,individual,structured,low,Education & Social Impact
U00057,Neha Khan,27.0,High School,Engineering,1 years,5.0,,5.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,74.0,,56.0,65.0,,collaborative,structured,high,Technology & Engineering
U00058,Priya Singh,24.0,High School,Computer Science,2 years,4.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,45.0,66.0,40.0,56.0,44.0,individual,flexible,low,Education & Social Impact
U00059,Rahul Iyer,23.0,High School,Design,2 years,4.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,56.0,85.0,36.0,51.0,2.0,individual,flexible,low,Business & Management
U00060,Rahul Das,27.0,Graduate,Economics,0 years,3.0,2.0,1.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,55.0,49.0,50.0,62.0,57.0,collaborative,flexible,high,Entrepreneurship & Freelance
U00061,Neha Iyer,22.0,Undergraduate,Design,1 years,3.0,5.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,35.0,47.0,84.0,41.0,15.0,collaborative,flexible,high,Design & Creative Media
U00062,Rohan Miller,26.0,High School,Biology,2 years,4.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,47.0,88.0,44.0,42.0,50.0,collaborative,flexible,high,Business & Management
U00063,Sara Wilson,30.0,Graduate,Business,1 years,4.0,5.0,4.0,5.0,3.0,2.0,5.0,1.0,4.0,2.0,2.0,83.0,43.0,39.0,64.0,51.0,individual,structured,medium,Technology & Engineering
U00064,Neha Wilson,23.0,High School,Design,2 years,5.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,20.0,55.0,76.0,25.0,12.0,collaborative,flexible,high,Design & Creative Media
U00065,Priya Iyer,40.0,High School,Economics,0 years,5.0,5.0,2.0,5.0,3.0,1.0,0.0,5.0,2.0,1.0,4.0,59.0,63.0,50.0,48.0,57.0,collaborative,flexible,medium,Education & Social Impact
U00066,Rahul Khan,26.0,High School,Engineering,2 years,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,24.0,35.0,44.0,25.0,41.0,individual,flexible,medium,Healthcare & Life Sciences
U00067,Joseph Wilson,25.0,Graduate,Business,1 years,4.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,30.0,41.0,90.0,40.0,45.0,collaborative,structured,high,Design & Creative Media
U00068,Priya Khan,21.0,Graduate,Computer Science,1 years,2.0,5.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,61.0,33.0,38.0,49.0,51.0,individual,flexible,low,Healthcare & Life Sciences
U00069,Anika Miller,23.0,Undergraduate,Economics,1 years,4.0,3.0,3.0,5.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,54.0,70.0,71.0,34.0,41.0,individual,flexible,medium,Entrepreneurship & Freelance
U00070,Priya Miller,22.0,Undergraduate,Biology,,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,42.0,,34.0,,44.0,individual,,low,Finance & Economics
U00071,Joseph Singh,25.0,Graduate,IT,2 years,4.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,1.0,31.0,62.0,46.0,74.0,50.0,individual,structured,low,Education & Social Impact
U00072,Daniel Patel,24.0,High School,Business,1 years,4.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,0.0,3.0,69.0,79.0,48.0,41.0,43.0,collaborative,structured,high,Business & Management
U00073,John Brown,26.0,High School,IT,1 years,4.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,49.0,79.0,48.0,60.0,53.0,individual,flexible,low,Business & Management
U00074,John Khan,24.0,Graduate,Psychology,0 years,2.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,38.0,32.0,40.0,62.0,63.0,collaborative,structured,low,Healthcare & Life Sciences
U00075,Sara Sharma,23.0,Graduate,Biology,3 years,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,25.0,19.0,44.0,19.0,41.0,individual,structured,medium,Healthcare & Life Sciences
U00076,Joseph Sharma,20.0,Graduate,Economics,0 years,4.0,4.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0,30.0,56.0,33.0,39.0,31.0,individual,flexible,medium,Healthcare & Life Sciences
U00077,Joseph Iyer,22.0,Graduate,Business,1 years,3.0,5.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,75.0,61.0,28.0,51.0,49.0,collaborative,structured,high,Technology & Engineering
U00078,John Khan,27.0,Graduate,Engineering,3 years,4.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,33.0,34.0,40.0,57.0,55.0,collaborative,flexible,high,Healthcare & Life Sciences
U00079,Sara Sharma,26.0,Undergraduate,Engineering,1 years,2.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,42.0,60.0,40.0,48.0,61.0,individual,flexible,high,Healthcare & Life Sciences
U00080,Joseph Nair,22.0,Undergraduate,Economics,1 years,2.0,2.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,42.0,42.0,51.0,47.0,56.0,individual,flexible,low,Healthcare & Life Sciences
U00081,Joseph Miller,25.0,Graduate,Biology,3 years,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,81.0,80.0,12.0,51.0,50.0,individual,structured,low,Finance & Economics
U00082,Neha Das,27.0,High School,Engineering,2 years,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,38.0,78.0,40.0,28.0,54.0,collaborative,flexible,low,Business & Management
U00083,Priya Singh,23.0,Undergraduate,Economics,2 years,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,92.0,34.0,60.0,31.0,47.0,collaborative,flexible,medium,Technology & Engineering
U00084,Joseph Iyer,28.0,Undergraduate,Biology,4 years,5.0,5.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,44.0,50.0,59.0,22.0,42.0,collaborative,structured,low,Education & Social Impact
U00085,Rohan Das,21.0,Graduate,Business,0 years,3.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,45.0,68.0,60.0,32.0,28.0,individual,structured,high,Education & Social Impact
U00086,Daniel Das,24.0,Graduate,Biology,0 years,4.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,4.0,30.0,33.0,89.0,25.0,49.0,individual,structured,medium,Design & Creative Media
U00087,,26.0,Graduate,Business,3 years,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,,,2.0,37.0,,,51.0,40.0,collaborative,,low,Business & Management
U00088,Amit Iyer,24.0,,Computer Science,2 years,2.0,3.0,3.0,2.0,3.0,0.0,2.0,2.0,,4.0,2.0,31.0,47.0,46.0,24.0,45.0,collaborative,flexible,medium,Healthcare & Life Sciences
U00089,Anika Miller,25.0,Undergraduate,IT,2 years,4.0,3.0,2.0,4.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,55.0,40.0,77.0,37.0,65.0,individual,flexible,medium,Design & Creative Media
U00090,Anika Patel,22.0,High School,Biology,1 years,3.0,,3.0,5.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,100.0,42.0,27.0,33.0,62.0,individual,structured,low,Technology & Engineering
U00091,Daniel Khan,24.0,Graduate,Design,0 years,4.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,50.0,41.0,30.0,25.0,51.0,collaborative,flexible,medium,Healthcare & Life Sciences
U00092,Priya Miller,30.0,Graduate,Computer Science,0 years,4.0,5.0,2.0,4.0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,58.0,76.0,26.0,45.0,40.0,individual,structured,high,Finance & Economics
U00093,Rohan Patel,24.0,High School,Business,3 years,2.0,5.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,50.0,77.0,36.0,34.0,31.0,individual,structured,low,Business & Management
U00094,Daniel Iyer,28.0,Undergraduate,Computer Science,1 years,,,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,37.0,42.0,82.0,48.0,37.0,individual,flexible,high,Design & Creative Media
,Neha Sharma,26.0,Graduate,Design,0 years,4.0,5.0,,3.0,3.0,,3.0,,4.0,4.0,3.0,52.0,,48.0,38.0,,,structured,medium,Finance & Economics
U00096,Amit Miller,27.0,High School,IT,1 years,1.0,4.0,2.0,,3.0,4.0,4.0,2.0,4.0,2.0,3.0,86.0,30.0,45.0,31.0,57.0,individual,structured,medium,Technology & Engineering
U00097,Daniel Miller,25.0,Undergraduate,IT,3 years,3.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,4.0,4.0,2.0,38.0,45.0,46.0,26.0,48.0,collaborative,flexible,high,Healthcare & Life Sciences
,Rahul Das,26.0,Undergraduate,Engineering,,,5.0,1.0,4.0,,0.0,2.0,4.0,3.0,3.0,4.0,48.0,56.0,92.0,41.0,,individual,structured,medium,Design & Creative Media
U00099,John Nair,23.0,High School,Design,1 years,5.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,34.0,45.0,38.0,18.0,43.0,individual,flexible,high,Education & Social Impact
U00100,Amit Iyer,19.0,Graduate,Engineering,1 years,4.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,72.0,36.0,27.0,56.0,45.0,collaborative,structured,high,Technology & Engineering
U00101,Neha Sharma,29.0,Undergraduate,Economics,1 years,3.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,4.0,43.0,37.0,76.0,7.0,34.0,collaborative,flexible,medium,Design & Creative Media
U00102,Amit Brown,23.0,Undergraduate,Engineering,1 years,3.0,4.0,2.0,3.0,3.0,2.0,0.0,4.0,3.0,3.0,3.0,37.0,59.0,47.0,30.0,50.0,collaborative,flexible,high,Education & Social Impact
U00103,Joseph Miller,20.0,Undergraduate,IT,2 years,3.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,5.0,2.0,3.0,84.0,33.0,52.0,22.0,58.0,collaborative,structured,high,Technology & Engineering
U00104,Priya Nair,27.0,High School,Economics,1 years,5.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,71.0,54.0,50.0,23.0,41.0,collaborative,flexible,low,Entrepreneurship & Freelance
U00105,Amit Miller,23.0,Undergraduate,Engineering,2 years,5.0,5.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,47.0,71.0,44.0,32.0,44.0,individual,structured,high,Business & Management
U00106,Amit Miller,25.0,Graduate,Computer Science,2 years,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,43.0,43.0,39.0,16.0,28.0,collaborative,structured,low,Healthcare & Life Sciences
U00107,Neha Sharma,20.0,Graduate,Business,2 years,5.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,67.0,54.0,57.0,71.0,31.0,collaborative,flexible,high,Entrepreneurship & Freelance
U00108,Neha Iyer,18.0,High School,Engineering,0 years,5.0,5.0,1.0,4.0,2.0,1.0,4.0,1.0,4.0,3.0,4.0,35.0,53.0,41.0,44.0,39.0,individual,flexible,low,Education & Social Impact
U00109,Amit Sharma,25.0,Undergraduate,Psychology,1 years,4.0,3.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,0.0,71.0,55.0,37.0,39.0,49.0,collaborative,flexible,low,Healthcare & Life Sciences
U00110,Daniel Khan,25.0,Graduate,Engineering,2 years,4.0,4.0,2.0,3.0,2.0,4.0,3.0,0.0,4.0,3.0,2.0,51.0,86.0,39.0,28.0,51.0,individual,flexible,high,Finance & Economics
U00111,Rahul Das,21.0,Undergraduate,Engineering,0 years,3.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,42.0,43.0,95.0,39.0,31.0,collaborative,structured,high,Design & Creative Media
U00112,Sara Wilson,23.0,High School,Economics,1 years,3.0,3.0,2.0,,1.0,3.0,3.0,2.0,4.0,3.0,1.0,37.0,72.0,30.0,52.0,42.0,collaborative,flexible,medium,Business & Management
,Amit Iyer,,,,0 years,,2.0,3.0,4.0,4.0,0.0,0.0,3.0,5.0,4.0,3.0,30.0,58.0,35.0,47.0,52.0,collaborative,structured,medium,Education & Social Impact
U00114,Neha Nair,27.0,Graduate,Business,4 years,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,79.0,36.0,36.0,52.0,31.0,collaborative,structured,low,Technology & Engineering
U00115,John Brown,22.0,Graduate,Psychology,1 years,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,29.0,15.0,83.0,61.0,58.0,individual,flexible,high,Design & Creative Media
U00116,Joseph Iyer,26.0,Graduate,Computer Science,3 years,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,37.0,59.0,42.0,32.0,42.0,individual,structured,high,Entrepreneurship & Freelance
U00117,Sara Sharma,22.0,Undergraduate,IT,3 years,4.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,3.0,25.0,41.0,56.0,22.0,69.0,individual,flexible,low,Education & Social Impact
U00118,Anika Nair,21.0,Undergraduate,Computer Science,2 years,3.0,4.0,2.0,3.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,33.0,74.0,52.0,39.0,41.0,collaborative,flexible,medium,Education & Social Impact
U00119,Rahul Wilson,24.0,Graduate,Business,2 years,2.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,50.0,27.0,70.0,42.0,45.0,individual,structured,low,Design & Creative Media
U00120,Daniel Singh,24.0,Undergraduate,Business,2 years,3.0,5.0,1.0,3.0,2.0,0.0,1.0,4.0,4.0,3.0,1.0,33.0,41.0,31.0,59.0,53.0,individual,flexible,high,Healthcare & Life Sciences
,Anika Iyer,20.0,,Business,2 years,4.0,5.0,4.0,2.0,2.0,,2.0,3.0,4.0,2.0,2.0,56.0,,,,,individual,flexible,medium,Finance & Economics
U00122,Priya Miller,30.0,Undergraduate,Biology,2 years,3.0,3.0,2.0,5.0,1.0,3.0,0.0,2.0,3.0,3.0,1.0,44.0,65.0,21.0,42.0,35.0,individual,flexible,medium,Healthcare & Life Sciences
U00123,Daniel Brown,25.0,Graduate,Biology,2 years,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,79.0,27.0,41.0,53.0,38.0,collaborative,structured,high,Technology & Engineering
U00124,Daniel Nair,22.0,Graduate,Engineering,2 years,3.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,28.0,21.0,95.0,29.0,56.0,collaborative,structured,high,Design & Creative Media
